,Amazon SDET Questions
0,"b""A 2d array has 0 and 1 as values. In one flip,  0's are changed to 1 if and only if any of the neighbors (left, right, top, bottom) is 1. Return the total number of flips required to convert the whole grid to 1's"""
1,b'how would you debug a tablet with a part of its touch screen is broken.'
2,"b""Remove '_' and print with 1 space separated string from Amazon_w_e_b_services are___widely__used_acc__ro___ss_the_worl_d, output should be : Amazon web services are widely used accross the world."""
3,b'Write second most repeating word in a string\reg aaa bbb ccc aaa bbb aaa\ranswer  - bbb'
4,"b'/*\r * Please come up with Class and Data Structure Design for a metric system to determine the top song of a\r * band. Two Web Service calls\r *\r * void play(String bandname, String songname);\r * String topSong(String bandname);\r */\r  // play(Lady Gaga, Pokerface);\r // play(Lady Gaga, Pokerface);\r // play(Lady Gaga, Alejandro);\r // play(Bruno Mars, Treasure);\r // topSong(Lady Gaga) -> Pokerface'"
5,b'find first not-repeating character by iterating through the length of the string only once and by using constant space.'
6,"b'Given two sorted lists and an integer k, merge the lists up to a maximum of k elements.'"
7,"b'Given two sorted lists (or arrays) and a number k, create an algorithm to fetch the least k numbers of the two lists.'"
8,"b'test plan for gmail login screen.areas you test.tools you use,test cases and estimated time.'"
9,b'how do you test google translate.test plan.different types of testing and testcases'
10,b'Test plan for Angry birds game with 80% coverage.what areas you will concentrate on.'
11,b'What is a stack? What operations can be performed on it?\rImplement a stack data structure.'
12,"b'Implement a datastructure with the following APIs\rvoid add(int) - 3,12,5,6,1\rint getMin() - 1,3,5,6,12'"
13,b'Find missing element in the A.P.'
14,b'Implement the power function with o(logN) time complexity and O(1) space'
15,"b""Given a group of no.s you need to arrange them in a such a way that they result into maximum no.\rThe input no. can be of more than 1 digit, don't change no. digits order."""
16,b'Find the largest substring palindrome in a given string.\rex: input: abbac output: abba\r Solution: Use Hashmap'
17,"b'Given a Integer, find the maximum number that can be formed from the digits.\rInput : 8754365\routput : 8765543\r I told solution in nlogn. He asked me optimize further.'"
18,"b'You are given two integer arrays A and B .\r  1<=i<=len(A) so i is iterator of array A\r 1<=j<=len(B) so j is iterator of array B \r  find all the pairs(i,j) such that : i < j and A[i]>B[j]'"
19,"b'given matrix like :\r a b e d\rb c f e\ra b d d\r\xe2\x80\xa6.\r find the longest path of consecutive alphabets given a starting alphabet. You can move in all 8 directions. for eg. a->b(right)->c(down)->d(diagnal down)\xe2\x80\xa6 len = 4 , find max such len'"
20,"b""Replace %20 with ' '.\rE.g. input: www.space%20.com\r\toutput: www.space .com"""
